"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"89","Bengaluru, Karnataka","137","0 KP Ramaiya Road, Upparahalli, Mavalli, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",835,564,1234
"89","Bengaluru, Karnataka","138","Raja Niwas, 7th Cross Road, Arekempanahalli, Mavalli, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",865,598,1249
"89","Bengaluru, Karnataka","139","0 16th Cross Road, Lakkasandra Extension, Wilson Garden, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",620,403,953
"89","Bengaluru, Karnataka","140","Nimhans Campus Road, RBI Extension, Hombegowda Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1053,745,1486
"89","Bengaluru, Karnataka","141","Ueda Priya House, Tara Subba Rao Road, Gavipura, Kempegowda Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1364,977,1903
"89","Bengaluru, Karnataka","142","12, Srinagar, Banashankari, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1460,1067,1997
"89","Bengaluru, Karnataka","143","0 Subbarama Chetty Road, NR Colony, Basavanagudi, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1310,960,1787
"89","Bengaluru, Karnataka","144","Mandhara Niwas, 1st phase Girinagar, Banashankari Stage I, Banashankari, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1697,1256,2292
"89","Bengaluru, Karnataka","145","0 1st Cross Road, 4th Block, Banashankari 3rd Stage, Banashankari, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1731,1248,2400
"89","Bengaluru, Karnataka","146","6th Cross Road, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1479,1045,2092
"89","Bengaluru, Karnataka","147","Sushma Nilayam, 6th Main Road, Hrushikesh Nagar, Dattatreya Nagar, Hosakerehalli, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1946,1421,2663
"89","Bengaluru, Karnataka","148","BDA Shopping Complex, 24th Cross Road, Siddanna Layout, Banashankari Stage II, Banashankari, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1722,1281,2314
"89","Bengaluru, Karnataka","149","300 6th Cross Road, 1st Block, 7th Block, Jayanagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1550,1131,2122
"89","Bengaluru, Karnataka","150","30/2, Sakamma Garden, Jayanagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1248,908,1715
"89","Bengaluru, Karnataka","151","200 4th Cross Road, Umarbagh Layout, Banashankari, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1878,1363,2586
"89","Bengaluru, Karnataka","152","1700 Vyasaraya Ballal Road, Kumaraswamy Layout I Stage, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2035,1499,2762
"89","Bengaluru, Karnataka","153","100 2nd Main Road, Rajathadri Kalayana Mantappa, Padmanabhanagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2039,1519,2736
"89","Bengaluru, Karnataka","154","0 9th Cross Road, Rangadasapp Layout, Pukhraj Layout, Adugodi, Ad","3/1/2020 - 3/31/2020, Every day, Daily Average",749,495,1131
"89","Bengaluru, Karnataka","155","900 Adugodi Main Road, Audugodi Police Quarters, Adugodi, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",695,467,1033
"89","Bengaluru, Karnataka","156","26, Gowda Muniswamy Garden, Ejipura, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",837,523,1337
"89","Bengaluru, Karnataka","157","Prem Complex, Koramangala 3 Block, Koramangala, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1088,735,1608
"89","Bengaluru, Karnataka","158","0 3rd Main Road, Bharathi Layout, Venkateshwara Layout, Suddagunte Palya, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1047,722,1517
"89","Bengaluru, Karnataka","159","0 34th Main Road, 1st Phase, JP Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1767,1273,2452
"89","Bengaluru, Karnataka","160","0 8th Cross Road, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1438,985,2097
"89","Bengaluru, Karnataka","161","1100 16th Main Road, MCHS Colony, Stage 2, BTM 2nd Stage, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1436,990,2080
